id,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
204554,Abílio Santana,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,BA,56,https://www.camara.leg.br/internet/deputado/bandep/204554.jpg,dep.abiliosantana@camara.leg.br
204521,Abou Anni,PSL,https://dadosabertos.camara.leg.br/api/v2/partidos/36837,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204521.jpg,dep.abouanni@camara.leg.br
204379,Acácio Favacho,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,AP,56,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg,dep.acaciofavacho@camara.leg.br
204560,Adolfo Viana,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,BA,56,https://www.camara.leg.br/internet/deputado/bandep/204560.jpg,dep.adolfoviana@camara.leg.br
204528,Adriana Ventura,NOVO,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg,dep.adrianaventura@camara.leg.br
121948,Adriano do Baldy,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,GO,56,https://www.camara.leg.br/internet/deputado/bandep/121948.jpg,dep.adrianodobaldy@camara.leg.br
74646,Aécio Neves,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MG,56,https://www.camara.leg.br/internet/deputado/bandep/74646.jpg,dep.aecioneves@camara.leg.br
141372,Aelton Freitas,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MG,56,https://www.camara.leg.br/internet/deputado/bandep/141372.jpg,dep.aeltonfreitas@camara.leg.br
160508,Afonso Florence,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,56,https://www.camara.leg.br/internet/deputado/bandep/160508.jpg,dep.afonsoflorence@camara.leg.br
136811,Afonso Hamm,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RS,56,https://www.camara.leg.br/internet/deputado/bandep/136811.jpg,dep.afonsohamm@camara.leg.br
